"id","Project Name","Developer","Architect","Contractor","Possible Engineer","Location","Address","Territory","Groundbreaking Year","Completion Year","Article Title","Article Date","Scraped Date","Article Link","Article Summary","Milestone Mentions","Planned Mentions","Lead Score","Qualified","Justification"
,"Alba Reserve","BGI & Blue Road","Carlos Ott & Spina O’Rourke + Partners",,"","West Palm Beach","4720 N Flagler Drive, West Palm Beach, FL 33407","Broward / Palm Beach / Martin / St. Lucie",,,"Miami Pre-Construction Condos: Proposed - Alba Reserve","1/1/25","2025-10-02","https://www.condoblackbook.com/blog/january-2025-fort-lauderdale-and-palm-beach-pre-construction-condo-news-update/","West Palm Beach Developers BGI and Blue Road, the successful duo behind the under-construction Alba Palm Beach, have proposed a luxury condo project right next door at 4700 N. Flagler Drive. Designed by architect Carlos Ott and architect of record Spina O’Rourke + Partners, the 31-story Alba Reserve will rise with 87 luxury condos.",,,"4.0","Yes",
,"750-unit Condo Project","Not specified","BC Architects",,"","Hallandale Beach","426 Northeast 5th Street and 515 North Federal Highway, Hallandale Beach, FL 33009","Broward / Palm Beach / Martin / St. Lucie",,,"Miami Pre-Construction Condos: Planned - 750-unit Condo Project","2/1/25","2025-10-02","https://www.condoblackbook.com/blog/february-2025-fort-lauderdale-and-palm-beach-pre-construction-condo-news-update/","Not specified",,,"4.0","Yes",
,"One on One Harbor","One on One Harbor Beach Inc.","Adache Group",,"","Fort Lauderdale","3034 & 3049 Harbor Drive","Broward / Palm Beach / Martin / St. Lucie",,,"Miami Pre-Construction Condos: Proposed - One on One Harbor","2/1/25","2025-10-02","https://www.condoblackbook.com/blog/february-2025-fort-lauderdale-and-palm-beach-pre-construction-condo-news-update/","Developer One on One Harbor Beach Inc. is seeking approval to double the size of its planned luxury condo project after purchasing a neighboring lot at 3049 Harbor Drive. In 2023, the developer received approval to build a 240-foot, 22-story condominium building with 17 units at 3034 Harbor Drive. According to the latest plans, the developer wants to build the Adache Group-designed tower with 36 luxury condos since the project would span two parcels instead of one.",,,"4.0","Yes",
,"Turnberry Associates' 20-Story Condo","Turnberry Associates","Arquitectonica",,"","Singer Island","3930 North Ocean Drive, Singer Island, FL 33404","Broward / Palm Beach / Martin / St. Lucie",,,"Miami Pre-Construction Condos: Proposed - Turnberry Associates' 20-Story Condo","2/1/25","2025-10-02","https://www.condoblackbook.com/blog/february-2025-fort-lauderdale-and-palm-beach-pre-construction-condo-news-update/","Turnberry Associates, the developer of North Miami’s gated ONE Park Tower and Sunny Isles’ amenity-rich Turnberry Ocean Club Residences, has proposed an oceanfront condo tower on Singer Island. Located at 3930 North Ocean Drive in Palm Beach County, the Arquitectonica-designed tower will rise 20 stories with 52 luxury condos.",,,"4.0","Yes",
,"Gaia Residences","Alta Developers","CFE Architects",,"","401 North Federal Highway, Hollywood Beach","401 North Federal Highway, Hollywood, FL 33020","Broward / Palm Beach / Martin / St. Lucie","2026",,"February 2025: Fort Lauderdale and Palm Beach Pre- ...","2/1/25","2025-10-02","https://www.condoblackbook.com/blog/february-2025-fort-lauderdale-and-palm-beach-pre-construction-condo-news-update/","Developers in Fort Lauderdale and Palm Beach are focusing on wellness-driven and oceanfront condo projects, with significant announcements in the pre-construction market. Alta Developers is set to launch Gaia Residences in Hollywood Beach, transforming a planned apartment complex into a wellness-focused condo project. Additionally, Turnberry Associates has proposed a new oceanfront condo tower on Singer Island, further enhancing the luxury living options in the area.","Groundbreaking – Early 2026","Alta stated that a condo project would better meet the needs of Hollywood’s evolving market. | Turnberry Associates has proposed an oceanfront condo tower on Singer Island. | Developer One on One Harbor Beach Inc. is seeking approval to double the size of its planned luxury condo project after purchasing a neighboring lot. | If approved by the city’s Planning and Zoning Board, a mixed-use development could replace the Seville Mobile Home Park in Hallandale Beach. | Winning a coveted bid to redevelop 30 acres of publicly owned land, Terra Group and Frisbie Group will now collaborate with the city of Boca Raton to work on the 2.5 million-square-foot mixed-use project.","4.0","Yes","Confidence: 0.85 — Confidence is high. The article discusses the Gaia Residences project, which has received city approval and is designed by CFE Architects (Level 1 Evidence, Section 2.1). The project is set to break ground in early 2026, indicating a distant timeline, and features multiple strong inclusion signals such as the developer's intent to launch sales and the comprehensive amenities planned. This aligns with the criteria for qualification per Section 5.1."
,"Lev at Aventura & Eden at Aventura","Not specified",,,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Aventura","2520 NE 191st St, Aventura, FL 33180","Dade / Monroe",,,"Miami Pre-Construction Condos: Planned - Lev at Aventura & Eden at Aventura","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","Not specified",,,"2.0","Yes",
,"Luxury Condos by Fortune International","Fortune International","Portuondo Perotti Architects",,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Coral Gables","6100 Caballero Boulevard","Dade / Monroe",,,"Miami Pre-Construction Condos: Planned - Luxury Condos by Fortune International","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","Luxury Condos by Fortune International – Coral Gables",,,"4.0","Yes",
,"Seven Broadway","Ytech","Kohn Pedersen Fox (KPF)",,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Brickell","75 Southwest 15th Road, Miami, FL 33129","Dade / Monroe",,,"Miami Pre-Construction Condos: Under Construction - Seven Broadway","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","Filing plans with Miami’s Urban Development Review Board this June, developer Ytech unveiled its vision to build a luxury residential tower at 75 Southwest 15th Road. The high-rise, designed by New York’s highly acclaimed Kohn Pedersen Fox (KPF), will be perched in the walkable heart of Brickell with easy access to the Brickell City Center along with a multitude of offices, financial institutions, top-tier dining, and public transit options. Landscape design will be handled by the award-winning Enzo Enea. While Ytech secured a $19.5 million predevelopment loan last year to fast-track the project, it is yet to confirm whether the tower will feature condos or apartments.",,,"4.0","Yes",
,"Aria Reserve Skyclub (Phase 3)","Melo Group","Arquitectonica",,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Edgewater","500 NE 24th Street, Miami, FL 33137","Dade / Monroe",,,"Miami Pre-Construction Condos: Planned - Aria Reserve Skyclub (Phase 3)","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","developers Melo Group filed plans with Miami’s Urban Development Review Board for a third condo tower at the same iconic property. The developers have once again tapped Arquitectonica to lead design duties, continuing their collaboration with the acclaimed Miami firm that also shaped the first two towers.",,,"4.0","Yes",
,"Pair of Luxury Condo Towers by Related & Macklowe","Related Group & Macklowe Properties","Arquitectonica",,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","North Bay Village","7946 and 8000 East Drive, North Bay Village, FL 33141","Dade / Monroe",,,"Miami Pre-Construction Condos: Proposed - Pair of Luxury Condo Towers by Related & Macklowe","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","Replacing the 51-unit Biscayne Sea Club co-op and Majestic Isle condominium, developers Related Group and Macklowe Properties have proposed building a pair of 43-story luxury condo towers. Designed by Miami’s prolific Arquitectonica, the towers will rise on a 4.12-acre waterfront site spanning 8000 and 7946 East Drive to offer 364 luxury condos, over 100,000 square feet of amenities, and 798 parking spaces.",,,"4.0","Yes",
,"544","Claudio Fischer",,,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Brickell","68, 82, 84 Southwest 13th Street and 1399 Southwest First Avenue, Miami, FL 33130","Dade / Monroe",,,"Miami Pre-Construction Condos: Proposed - 544","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","Chilean developer Claudio Fischer is looking to redevelop the former consular site into a major residential project. Through his entity, CF TSG Brickell, Fischer has proposed building a 41-story tower on the parcel inclusive of 68, 82, and 84 Southwest 13th Street, as well as 1399 Southwest First Avenue. Additionally, Ardid family’s Key International signed an agreement with Fischer in December to acquire the property, though terms of that deal have not been disclosed.",,,"2.0","Yes",
,"Condo-Hotel by Habitat Group","Habitat Group",,,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Brickell","158 Southwest 7th Street, Miami, FL 33130","Dade / Monroe",,,"Miami Pre-Construction Condos: Proposed - Condo-Hotel by Habitat Group","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","This June, Swire parted with another parcel—this time the 0.34-acre parcel at 158 Southwest 7th Street—selling it to an affiliate of Habitat Group for $7.5 million. Abitaro Living LLC, also led by Santiago Vanegas of the Habitat Group, is now considering two plans for the newly acquired site.",,,"2.0","Yes",
,"Trilogy Edgewater","Not specified",,,"Truglio, Wei & Ramos (TWR) + Feller Engineering + Hufsey Nicolaides Garcia Suarez Associates Inc + MG Engineering + SDM Consulting Engineers Inc + TLC Engineering Solutions + Steven Feller PE Inc + Arquitectonica International Corp + Edwards & Zuck Consulting Engineers, LLC + Franyie Engineers, Inc.","Edgewater","2200 Biscayne Boulevard, Miami, FL 33137","Dade / Monroe","2026",,"Miami Pre-Construction Condos: Planned - Trilogy Edgewater","6/1/25","2025-10-02","https://www.condoblackbook.com/blog/june-2025-miami-new-development-and-pre-construction-condo-update/","Trilogy Real Estate Group acquired the 2-acre parcel at 2200 Biscayne Boulevard from Crescent Heights for $41.9 million, closing the deal this June. The purchase completes the Chicago-based developer’s 3.7-acre assemblage in Edgewater, paving the way for a massive mixed-use development. Planned as a “generational-scale” project, the development will feature 834 residential units, including 60 to 80 condos, with sales expected to launch next year. It will also likely have an automotive component driven by CEO Neil Gehani’s ties to the exclusive Concours Club: a members-only automotive club in Opa-locka.",,,"2.0","Yes",
,"Fort Myers Police Station",,,,"","Fort Myers, FL","2150 Fowler Street, Fort Myers, FL 33901","Greater Tampa / Fort Myers","2026","2027","Construction update on the new Fort Myers Police station","12/9/24","2025-10-02","https://www.fox4now.com/downtown-fort-myers/construction-update-on-the-new-fort-myers-police-station","The City of Fort Myers is progressing with the plans for a new police station in midtown. Land clearing is complete, and the project is moving into the design phase with construction set to begin in February 2026. The anticipated completion date for the station is July 2027, with occupancy expected by September 2027.","Early construction starts in February 2026. | The city's engineer tells Fort Myers Community Correspondent Miyoshi Price, that construction will hopefully be completed by July 2027, and people can move into the building by September 2027.","We've been talking about the new police station planned for south of MLK in midtown for a long time now.","1.0","Yes","Confidence: 0.75 — Confidence is moderate. The article indicates that the project is moving into the design phase and selecting a construction manager, which are positive inclusion signals (Level 2 Evidence, Section 2.1). The timeline suggests early construction starting in February 2026, which qualifies as a distant timeline per Section 4.2. However, there are no official filings mentioned yet, which slightly lowers the confidence score."
,"Tempo by Hilton",,,,"","downtown Fort Myers","2300 First Street","Greater Tampa / Fort Myers","2026",,"A Hotel Development is One Step Closer to Coming ...","4/25/25","2025-10-02","https://redevelopment.net/2025/04/a-hotel-development-is-one-step-closer-to-coming-to-downtown-fort-myers-by-2026-fort-myers-cra/","A new hotel named Tempo by Hilton is set to be built in downtown Fort Myers, with city leaders approving a $14 million rebate for the developers. The project is expected to break ground as early as February 2026. The hotel will feature 11 stories and 175 rooms, aimed at boosting local economic development and attracting larger conventions.","The project could break ground as early as February 2026.",,"1.0","Yes","Confidence: 0.85 — Confidence is high. The article discusses a new hotel project called Tempo by Hilton, with city approval for a $14 million rebate indicating strong support (Level 1 Evidence, Section 2.1). The project is set to break ground in February 2026, which qualifies as a distant timeline per Section 4.2. This project involves new construction, meeting the criteria for qualification."
,"Siro Miami, Brickell","Kerzner International",,,"","9 SE 6th Street, Miami, Florida, 33131, Miami-Dade County","9 SE 6th Street","Dade / Monroe",,"2030","First U.S. Siro-branded Hotel Coming to 9 SE 6th Street, ...","10/2/25","2025-10-02","https://floridayimby.com/2025/10/first-u-s-siro-branded-hotel-coming-to-9-se-6th-street-miami-florida.html","Kerzner International, in partnership with 13th Floor Investments and Forse Holdings, is planning a luxury tower in Miami-Dade County. The Siro Miami, Brickell hotel is set to deliver in 2030, featuring 530 units including hotel rooms and condos. This project will focus on promoting health and wellness through various communal amenities.","Siro Miami, Brickell, is anticipated to open in 2030.","Dubai-based Kerzner International, in partnership with 13th Floor Investments and Forse Holdings, has plans for a luxury tower in Miami-Dade County.","2.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses plans for a new luxury tower, Siro Miami, which qualifies as a new project (Level 3 Evidence, Section 2.1). The developer has acquired the site and has entitlements in place, indicating a strong intent to proceed. The timeline for completion in 2030 suggests a distant groundbreaking, aligning with the criteria for early leads."
,"Aston Martin Residences Daytona Beach Shores","Valor Real Estate Development",,,"","3411 South Atlantic Ave, Daytona Beach Shores","3411 South Atlantic Avenue, Daytona Beach Shores, FL 32118","Dade / Monroe",,"2029","Aston Martin planning new luxury apartments in Daytona ...","10/24/25","2025-10-26","https://www.wftv.com/news/local/aston-martin-planning-new-luxury-apartments-daytona-beach-shores/VICFCSMXZNBVTA7UVSQDN4MFYU/","Aston Martin is partnering with Valor Real Estate Development to create an ultra-luxury residential project in Daytona Beach Shores. The 18-story complex, named Aston Martin Residences Daytona Beach Shores, will feature 86 residential units and is set to be completed in 2029. This development will cover approximately 320,000 square feet and include two parking floors and two penthouse floors with eight ultra-luxury units.",,"Aston Martin has announced a partnership with Valor Real Estate Development to build an “ultra-luxury residential project” in Daytona Beach Shores.","2.0","Yes","Confidence: 0.85 — Confidence is high. The article announces a partnership between Aston Martin and Valor Real Estate Development to build a new luxury residential project, which qualifies as new construction (Level 1 Evidence, Section 2.1). The timeline indicates completion in 2029, which is distant and aligns with the criteria for qualification. This project has strong inclusion signals, including the specific project name and developer involvement."
,"Aston Martin Oceanfront Condominium Tower","Valor Real Estate Development",,,"","Daytona Beach Shores","3411 South Atlantic Avenue, Daytona Beach Shores, FL 32118","Greater Tampa / Fort Myers",,"2029","Aston Martin to bring luxury condo tower to Daytona Beach ...","10/23/25","2025-10-26","https://www.fox35orlando.com/news/aston-martin-bring-luxury-oceanfront-condo-tower-daytona-beach-shores.amp","Aston Martin is planning to build an 18-story oceanfront condominium tower in Daytona Beach Shores, marking its first branded residential development in Central Florida. The project will feature 86 luxury units and is expected to have a significant economic impact, creating over 10,000 jobs. Design and planning are set to continue after the official announcement in October 2025, with completion targeted for 2029.","Following the official announcement in October 2025, design and planning are expected to continue over the next several years, with completion targeted for 2029, according to officials involved in the project.","Aston Martin is announcing plans to build an 18-story oceanfront condominium tower in Daytona Beach Shores. | The company is planning another tower in the Tampa Bay area.","2.0","Yes","Confidence: 0.75 — Confidence is moderate. The article announces plans for an 18-story condominium tower by Aston Martin, indicating a clear intention to build (Level 2 Evidence, Section 2.1). While the project is still in the early development phase and lacks specific details on timelines and pricing, it aligns with the core mission of opportunity capture. The distant completion target of 2029 supports its qualification as an early lead per Scenario 4 (Section 6)."
,"Academic Building 10",,,,"","Florida Gulf Coast University","10501 FGCU Boulevard South","Greater Tampa / Fort Myers","2026","2029","FGCU nears 30 years since groundbreaking that reshaped ...","10/30/25","2025-11-02","https://www.news-press.com/story/news/local/2025/10/31/fgcu-30th-anniversary-groundbreaking-southwest-florida-university-history/86946510007/","Florida Gulf Coast University (FGCU) broke ground on November 28, 1995, becoming the state's 10th public university. Nearly 30 years later, FGCU has grown significantly, enrolling over 16,600 students and awarding more than 57,800 degrees since its opening in 1997. The university is set to break ground on a new health science facility in early 2026, with an expected opening in spring 2029.","The ceremonial groundbreaking took place Nov. 28, 1995, on 760 acres of pinewoods and wetlands donated by Ben Hill Griffin III and Alico Inc. | The next major milestone ahead: a groundbreaking for Academic Building 10, a state-of-the-art health science facility scheduled for early 2026 and expected to open in spring 2029.",,"1.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses a future groundbreaking for Academic Building 10, a new health science facility, scheduled for early 2026 (Level 3 Evidence, Section 2.1). This qualifies as an early lead per Scenario 4 (Section 6) due to the stated intent for new construction. The timeline suggests a distant completion in 2029, aligning with the criteria for qualification."
,"Fort Myers Regional Operations Center","Seagate Development Group","@pds_architecture",,"","South Lee County, Florida","16595 Oriole Road, Fort Myers, FL 33912","Greater Tampa / Fort Myers","2025","2026","FDLE to break ground on new Fort Myers Regional ...","7/30/25","2025-10-02","https://www.wgcu.org/section/crime/2025-07-30/fdle-to-break-ground-thursday-on-new-fort-myers-regional-operations-center-in-south-lee-county","The Florida Department of Law Enforcement will break ground on a new Fort Myers Regional Operations Center on Thursday. This facility aims to enhance law enforcement capabilities across Southwest Florida and will be built on a site in South Lee County. The estimated completion date for the project is October 2026.","The Florida Department of Law Enforcement will break ground Thursday on a new Fort Myers Regional Operations Center to be built on a site in South Lee County. | Estimated completion date is October 2026.",,"4.0","Yes","Confidence: 0.85 — Confidence is high as the article discusses the construction of a new facility, which qualifies as new construction (Section 6). The project involves a collaboration with Seagate Development Group and mentions the architectural firms involved, @pds_architecture and Quattrone and Associates, Inc., providing strong inclusion signals (Section 2.2). The estimated completion date in 2026 indicates a distant timeline, further supporting qualification."
,"Florida Department of Law Enforcement Regional Operations Center","Seagate Development","PDS Architecture",,"NPS Consulting + Joseph, Lawrence & Co LLC + Atlas Design & Engineering, Inc. + Dynamic MEP Engineering + ETS- Engineering Technical Support Inc + Florida Engineering LLC + OCI Associates + Point One Design","Fort Myers","16595 Oriole Road, Fort Myers, FL 33912","Greater Tampa / Fort Myers",,"2026","FDLE develops new, 64000-square-foot Fort Myers ...","4/14/25","2025-10-02","https://www.businessobserverfl.com/news/2025/apr/14/fdle-fort-myers-operation-center/","Seagate Development has been selected to develop a new 64,000-square-foot Florida Department of Law Enforcement regional operations center in Fort Myers. The project is currently in the design stage, with an estimated completion date set for October 2026. The new facility will replace the existing building, which has suffered damage from multiple storms.","The estimated completion date is October 2026.","The project is currently in the design stage.","4.0","Yes","Confidence: 0.75 — Confidence is moderate. The article states that Seagate Development has been chosen to develop a new operations center, which qualifies as a new project (Level 1 Evidence, Section 2.1). The project is currently in the design stage, and while the completion date is set for 2026, it indicates a clear intent to build. The involvement of PDS Architecture as the architect adds to the inclusion signals, but the absence of official filings lowers the confidence slightly."
,"Hudson Creek",,,,"","Cape Coral","4 NE 1st Rd, Cape Coral, FL 33993","Greater Tampa / Fort Myers","2025",,"Thousands of homes being built in SW Florida. What's ...","6/5/25","2025-10-02","https://news.yahoo.com/news/thousands-homes-being-built-sw-173200821.html","Lee County is experiencing a significant increase in home construction, with 994 single-family building permits issued in April alone. Thousands of homes are either approved, in planning stages, or under construction across various communities. Notable developments include Cameratta Companies' Kingston and Verdana Village projects, as well as the upcoming Hudson Creek community in Cape Coral.","The Shoppes at Verdana Village, with 78,000 square feet of total shopping space, is open with a Publix anchoring it. | In Cape Coral, a 1,745-acre stretch of raw land known as Hudson Creek is approved and soon to start construction for up to 3,500 homes and as much as 425,000 square feet of shops and restaurants, along with other commercial uses, including a 500-room hotel.","In the Village of Estero, Coconut Pointe Residences is a planned 137-unit apartment complex to take the place of a long-closed Winn-Dixie grocery store near The Brooks, a 2,492-acre master-planned development. | Also in Cape Coral, a 350-acre parcel south of Rotary Park called Redfish Pointe is planned for 800 residential units, a 300-bed resort hotel and 38,000 to 50,000 square feet of commercial space.","1.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses multiple developments in Lee County, including the Kingston development and Verdana Village, which have received approvals and are in various stages of construction (Level 1 Evidence, Section 2.1). While there are strong inclusion signals, some projects are still in planning stages, which adds a level of uncertainty. However, the overall context aligns with the core mission of identifying early-stage commercial construction opportunities."
,"Amazon Mega Distribution Center",,,,"","near I-75 and MLK Blvd","10631 State Road 82","Greater Tampa / Fort Myers","2025","2027","Developments changing Fort Myers in 2025","6/11/25","2025-10-02","https://movingtofortmyersflorida.com/fort-myers-2025-developments/","Fort Myers is set to undergo significant developments in 2025 and beyond, with several major projects in the pipeline. Notable among these is the Amazon Mega Distribution Center, which will be the largest building in Southwest Florida, starting construction in 2025 and expected to be completed by 2027. Additionally, Catalyst Community Development is proposing a mixed-use project that includes over 600 apartment units and extensive retail and office space.","🛠️ Construction starts in 2025, with completion expected in 2027.","The Fort Myers City Council is reviewing two proposals to redevelop a key 10-acre site near Martin Luther King Boulevard and Fowler Street—formerly home to the News Press and Fire Station. | City Council has already scheduled a public hearing—so we’ll likely see progress here soon.","1.0","Yes","Confidence: 0.75 — The article discusses a major redevelopment project led by Catalyst Community Development, which includes multiple components such as residential units, retail, and office space, indicating a clear intent to build (Level 3 Evidence, Section 2.1). The City Council's scheduled public hearing suggests progress is imminent, qualifying it as an early lead per Scenario 4 (Section 6). While the project is still in the proposal stage, it passes the red flag check with no disqualification signals present."
,"Ocoee Sports Complex",,,,"","Ocoee, FL","Southeast corner of Ocoee-Apopka Road and Fullers Cross Road","Orlando",,"2027","Ocoee one step closer to $1B retail, sports complex",,"2025-10-02","https://www.fox35orlando.com/video/1595893","The Ocoee City Commission has approved the future land use and rezoning for a $1 billion sports complex on a 150-acre parcel. The complex will feature sports fields, restaurants, retail space, and two hotels, aiming to create 5,000 jobs. Construction is anticipated to be completed by 2027.","Construction is expected to be completed by 2027.","The Ocoee City Commission has voted to approve the future land use and rezoning of a 150-acre parcel of land slated to become a $1 billion sports complex.","1.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses the approval of future land use and rezoning for a significant development project, which qualifies as an early signal per Scenario 4 (Section 6). While there are no official plans filed yet, the project's scale and economic impact suggest it is a promising opportunity. The timeline for completion in 2027 aligns with distant groundbreaking expectations."
,"Mixed-Use Redevelopment Project","Catalyst Community Development",,,"","2442 and 2404 Dr. Martin Luther King Jr. Boulevard, Fort Myers","2442 and 2404 Dr. Martin Luther King Jr. Boulevard, Fort Myers, FL","Greater Tampa / Fort Myers","2027",,"Fort Myers City Council approves $11.5 million old ...","3/3/25","2025-10-02","https://www.fox4now.com/downtown-fort-myers/fort-myers-city-council-approves-11-5-million-mixed-use-project-for-old-news-press-site","The Fort Myers City Council has approved a nearly $12 million deal for the redevelopment of the old News-Press site and Fire Station 1. The project will include a mix of residential units, retail space, and office buildings, aiming to revitalize downtown Fort Myers over the next 10-15 years. Catalyst Community Development plans to start the planning and design phase within six months, with groundbreaking anticipated in 2027 at the earliest.","Bonora said they want to begin the planing and design phase in the next six months with a goal of breaking ground in 2027 at the earliest.",,"2.0","Yes","Confidence: 0.75 — Confidence is moderate. The article reports that the Fort Myers City Council has approved a purchase and sale agreement for a mixed-use redevelopment project, which includes residential units, retail space, and office buildings (Level 1 Evidence, Section 2.1). The timeline indicates a goal to break ground in 2027, qualifying it as a distant project per Section 4.2. While there are strong inclusion signals, the project is still in the planning phase, which adds some uncertainty."
,"Mixed-Use Redevelopment of Old News-Press Site and Fire Station 1","Catalyst Community Development",,,"","2442 and 2404 Dr. Martin Luther King Jr. Boulevard, Fort Myers","2442 Dr. Martin Luther King Jr. Boulevard, Fort Myers, FL 33901","Greater Tampa / Fort Myers","2027",,"Fort Myers City Council approves $11.5 million old ...","3/3/25","2025-10-02","https://www.fox4now.com/downtown-fort-myers/fort-myers-city-council-approves-11-5-million-mixed-use-project-for-old-news-press-site","The Fort Myers City Council has approved a nearly $12 million deal for the redevelopment of the old News-Press site and Fire Station 1. The project will feature a mix of residential units, retail space, and office buildings, with plans to begin the planning and design phase within the next six months. Groundbreaking is targeted for 2027 at the earliest, marking the start of a potential 10-15 year redevelopment of downtown Fort Myers.","Bonora said they want to begin the planing and design phase in the next six months with a goal of breaking ground in 2027 at the earliest.",,"2.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses an approved development agreement for a mixed-use project, which includes multiple components such as residential units, retail space, and office buildings (Level 1 Evidence, Section 2.1). The timeline indicates a goal to break ground in 2027, qualifying it as a distant project (Section 4.2). While the project is in the planning phase, it shows strong inclusion signals and passes the Red Flag Check."
,"Old News-Press Site and Fire Station 1 Redevelopment","Catalyst Community Development",,,"","2442 and 2404 Dr. Martin Luther King Jr. Boulevard, Fort Myers","2442 Dr Martin Luther King Jr Blvd, Fort Myers, FL 33901","Greater Tampa / Fort Myers","2027",,"Fort Myers City Council approves $11.5 million old ...","3/3/25","2025-10-02","https://www.fox4now.com/downtown-fort-myers/fort-myers-city-council-approves-11-5-million-mixed-use-project-for-old-news-press-site","The Fort Myers City Council has approved a nearly $12 million deal for the redevelopment of the old News-Press site and Fire Station 1. The project will feature a mix of residential units, retail space, and office buildings, with plans to begin the planning and design phase in the next six months. Groundbreaking is targeted for 2027 at the earliest, aiming to revitalize downtown Fort Myers over the next 10-15 years.","Bonora said they want to begin the planing and design phase in the next six months with a goal of breaking ground in 2027 at the earliest.",,"2.0","Yes","Confidence: 0.75 — Confidence is moderate. The article discusses a mixed-use redevelopment project with an approved purchase and sale agreement, which qualifies as a strong inclusion signal (Level 1 Evidence, Section 2.1). The timeline indicates a goal to break ground in 2027, which is appropriate for distant projects (Section 4.2). While the project is still in the planning phase, it passes the red flag check and aligns with the core mission of opportunity capture."
,"Residences at Rocky Point","Costis-Lifsey Development and American Land Ventures","Cube 3 and RSP Architects",,"Kamm Consulting + Kamm Consulting, Inc.","Rocky Point, Tampa","2425 Rocky Point Drive, Tampa, FL 33607","Greater Tampa / Fort Myers","2027","2028","Joint Venture to Develop $187 Million Tampa High-Rise","8/26/25","2025-10-02","https://multifamilyaffordablehousing.com/joint-venture-to-develop-187-million-tampa-high-rise/","Costis-Lifsey Development and American Land Ventures are set to develop a 21-story, 252-unit tower named Residences at Rocky Point in Tampa. Construction is expected to begin in early 2027 and be completed by mid-2028. The project will feature various amenities including a rooftop restaurant and an infinity pool.","Construction is expected to begin in early 2027 and to be completed by mid-2028.",,"4.0","Yes","Confidence: 0.88 — Confidence is high. The article reports on a new 21-story multifamily tower development with named architects (Cube 3 and RSP Architects) and a clear timeline for construction beginning in early 2027 (Level 1 Evidence, Section 2.1). This qualifies as new construction requiring complete design, aligning with the criteria for commercial scale verified per Section 5.1. The project is well-defined and meets the inclusion signals outlined in the rules."
